Old_name,New_name,Shape,x-axis,y-axis,c0,c1,Cost0,Cost1
hamilton,diagonal,line,c,,=c1,,0.001,0.001
hamilton_1run,diagonal_1run,line,c,,=c1,,0.001,0.001
diagonal,symmetric_c,line,c,,=c1,,0.001,0.001
diagonal_1run,symmetric_c_1run,line,c,,=c1,,0.001,0.001
hamilton_cost,diagonal_cost,triangle,c,Cost,=c1,,=Cost1,
hamilton_cost_1run,diagonal_cost_1run,triangle,c,Cost,=c1,,=Cost1,
diagonal_cost,symmetric_cost,triangle,c,Cost,=c1,,=Cost1,
diagonal_cost_1run,symmetric_cost_1run,triangle,c,Cost,=c1,,=Cost1,
symmetric_cost,symmetric_c_Cost,triangle,c,Cost,=c1,,=Cost1,
symmetric_cost_1run,symmetric_c_Cost_1run,triangle,c,Cost,=c1,,=Cost1,
diagonal_infocost,symmetric_cost,line,Cost,,0.1,0.1,=Cost1,
diagonal_infocost_1run,symmetric_cost_1run,line,Cost,,0.1,0.1,=Cost1,
mutualism,asymmetric_c0_c1,triangle,c0,c1,<c1,,0.001,0.001
mutualism_1run,asymmetric_c0_c1_1run,triangle,c0,c1,<c1,,0.001,0.001
mutualism_cost,asymmetric_c1_Cost,triangle,c1,Cost,0.1,>0.1,=Cost1,
mutualism_cost_1run,asymmetric_c1_Cost_1run,triangle,c1,Cost,0.1,>0.1,=Cost1,
mutualism_infocost,asymmetric_Cost0_Cost1,triangle,Cost0,Cost1,0.1,0.1,<Cost1,
mutualism_infocost_1run,asymmetric_Cost0_Cost1_1run,triangle,Cost0,Cost1,0.1,0.1,<Cost1,
